tf,dc,adx,struct,shorts,stop,rr,ret,pf,n,win,dd
1h,20,0.0,True,True,1.5,1.5,-0.2490730880458727,0.5948896169477416,101,0.31683168316831684,-0.2815928763105816
1h,20,0.0,True,True,1.5,2.0,-0.18558809026130185,0.7006868223567976,94,0.2872340425531915,-0.21365906813361812
1h,20,0.0,True,True,1.5,3.0,-0.14708418072480256,0.7488458081662559,81,0.2222222222222222,-0.22444311999036404
1h,20,0.0,True,True,2.0,1.0,-0.18499276115197405,0.6431748320048613,99,0.42424242424242425,-0.21543716245568234
1h,20,0.0,True,True,2.0,1.5,-0.11920600406265491,0.7813767261423866,90,0.36666666666666664,-0.1401187358902375
1h,20,0.0,True,True,2.0,2.0,-0.1373522561642041,0.7349947190346929,79,0.2911392405063291,-0.19686255267190578
1h,20,0.0,True,True,2.0,3.0,-0.25206840741342695,0.5215783185003603,69,0.15942028985507245,-0.2581351328219402
1h,20,0.0,True,True,3.0,1.0,-0.1488171432528681,0.6752366067601,87,0.42528735632183906,-0.16959716642529132
1h,20,0.0,True,True,3.0,1.5,-0.14972292520738506,0.6596926114799191,71,0.323943661971831,-0.18413957617364463
1h,20,0.0,True,True,3.0,2.0,-0.14905938202159796,0.6357478767619057,59,0.2542372881355932,-0.16924661680410213
1h,20,0.0,True,True,3.0,3.0,-0.13164731052462486,0.6651856965362628,52,0.19230769230769232,-0.17428996842063826
1h,20,0.0,True,False,1.5,1.0,-0.1549421039976594,0.5046422735716729,51,0.37254901960784315,-0.16275042224863134
1h,20,0.0,True,False,1.5,1.5,-0.13608397028102936,0.5656641947158398,46,0.30434782608695654,-0.13608397028102936
1h,20,0.0,True,False,1.5,2.0,-0.13585835502704158,0.5817908633487848,44,0.25,-0.13585835502704158
1h,20,0.0,True,False,1.5,3.0,-0.061879529130319466,0.7979609340962814,39,0.23076923076923078,-0.09205627832336849
1h,20,0.0,True,False,2.0,1.0,-0.16109936794045643,0.4512607750255981,47,0.3404255319148936,-0.16109936794045643
1h,20,0.0,True,False,2.0,1.5,-0.15229732523895256,0.5024565105698325,44,0.2727272727272727,-0.15229732523895256
1h,20,0.0,True,False,2.0,2.0,-0.10023453187953801,0.6585662439280695,41,0.2682926829268293,-0.10164150759117507
1h,20,0.0,True,False,2.0,3.0,-0.18972146529077138,0.3536427088874923,35,0.11428571428571428,-0.18972146529077138
1h,20,0.0,True,False,3.0,1.0,-0.1078531559703444,0.5636726497816823,42,0.38095238095238093,-0.1098199546192643
1h,20,0.0,True,False,3.0,1.5,-0.060665706914155404,0.7278402943806159,35,0.34285714285714286,-0.1014496879783714
1h,20,0.0,True,False,3.0,2.0,-0.08714946529736245,0.590239872949224,29,0.2413793103448276,-0.09372320816753532
1h,20,0.0,True,False,3.0,3.0,-0.060588727426069466,0.7284989653093117,29,0.20689655172413793,-0.09366014639899423
1h,20,0.0,False,True,1.5,1.0,-0.47837325824550025,0.6715857283186971,327,0.43730886850152906,-0.4907295215605023
1h,20,0.0,False,True,1.5,1.5,-0.41205374623115787,0.7161340036638268,281,0.35587188612099646,-0.42035099741585646
1h,20,0.0,False,True,1.5,2.0,-0.37488003246692303,0.7412795129846543,246,0.2967479674796748,-0.37488003246692303
1h,20,0.0,False,True,1.5,3.0,-0.2643565901512711,0.811759569449934,209,0.23444976076555024,-0.2956637704905134
1h,20,0.0,False,True,2.0,1.0,-0.26342170235384976,0.7899144052410741,273,0.4725274725274725,-0.27503948510988085
1h,20,0.0,False,True,2.0,1.5,-0.2922379800332031,0.7568210598163365,224,0.36160714285714285,-0.312149109291897
1h,20,0.0,False,True,2.0,2.0,-0.26740586049277615,0.7733168373096404,202,0.30198019801980197,-0.3022298423552523
1h,20,0.0,False,True,2.0,3.0,-0.14613396303016657,0.8651933432761707,150,0.24,-0.16511931038284078
1h,20,0.0,False,True,3.0,1.0,-0.28946510852731466,0.6848858086398678,199,0.4321608040201005,-0.30243095210354365
1h,20,0.0,False,True,3.0,1.5,-0.15094385974249558,0.8245968940333275,153,0.37254901960784315,-0.2121920474525063
1h,20,0.0,False,True,3.0,2.0,-0.14184005473904504,0.8253880503524104,127,0.30708661417322836,-0.1825262490476488
1h,20,0.0,False,True,3.0,3.0,-0.05392594183793331,0.9218395019512113,93,0.24731182795698925,-0.16462904535211642
1h,20,0.0,False,False,1.5,1.0,-0.26563098002846364,0.6746869762698898,157,0.4394904458598726,-0.27143192814062045
1h,20,0.0,False,False,1.5,1.5,-0.26170361210108783,0.6783466287903179,135,0.34074074074074073,-0.26170361210108783
1h,20,0.0,False,False,1.5,2.0,-0.2338428401419137,0.7155597243018991,122,0.28688524590163933,-0.2338428401419137
1h,20,0.0,False,False,1.5,3.0,-0.21919832189581334,0.7310165375127086,108,0.21296296296296297,-0.21919832189581334
1h,20,0.0,False,False,2.0,1.0,-0.2563895297867168,0.6343359764654437,134,0.417910447761194,-0.2563895297867168
1h,20,0.0,False,False,2.0,1.5,-0.26101155814623644,0.6294972012867123,116,0.31896551724137934,-0.2716459277162959
1h,20,0.0,False,False,2.0,2.0,-0.240399172219673,0.6727207442803452,111,0.2702702702702703,-0.240399172219673
1h,20,0.0,False,False,2.0,3.0,-0.24612301486736055,0.6267450976850658,87,0.1839080459770115,-0.24612301486736055
1h,20,0.0,False,False,3.0,1.0,-0.23863841825086984,0.5907378132413544,110,0.39090909090909093,-0.24557387666612607
1h,20,0.0,False,False,3.0,1.5,-0.22161319538914803,0.6096808177504847,92,0.30434782608695654,-0.22161319538914803
1h,20,0.0,False,False,3.0,2.0,-0.18853822138010068,0.6444177435835492,78,0.2564102564102564,-0.18853822138010068
1h,20,0.0,False,False,3.0,3.0,-0.1373514210219251,0.7291139180240055,68,0.20588235294117646,-0.1373514210219251
1h,20,20.0,True,True,1.5,1.0,-0.25957253078785836,0.47020150171764097,84,0.35714285714285715,-0.25957253078785836
1h,20,20.0,True,True,1.5,1.5,-0.2446958891732317,0.5029750746034439,75,0.28,-0.2579444534490898
